iter	Passed	Remaining
0	1	1250
1	2	1196
2	3	1167
3	4	1155
4	5	1140
5	6	1142
6	8	1152
7	9	1139
8	10	1136
9	11	1142
10	12	1148
11	13	1149
12	15	1151
13	16	1148
14	17	1149
15	18	1150
16	19	1150
17	21	1146
18	22	1147
19	23	1145
20	24	1147
21	25	1150
22	27	1150
23	28	1147
24	29	1150
25	30	1151
26	31	1148
27	33	1148
28	34	1152
29	35	1156
30	37	1157
31	38	1158
32	39	1158
33	40	1158
34	42	1159
35	43	1157
36	44	1156
37	45	1153
38	46	1151
39	47	1149
40	49	1148
41	50	1150
42	51	1150
43	52	1149
44	54	1148
45	55	1147
46	56	1147
47	57	1148
48	59	1148
49	60	1146
50	61	1144
51	62	1143
52	63	1143
53	65	1144
54	66	1145
55	67	1145
56	69	1144
57	70	1146
58	71	1145
59	73	1145
60	74	1144
61	75	1145
62	77	1145
63	78	1145
64	79	1145
65	80	1144
66	82	1143
67	83	1141
68	84	1142
69	86	1142
70	87	1143
71	88	1142
72	90	1143
73	91	1143
74	92	1143
75	94	1143
76	95	1144
77	96	1145
78	98	1146
79	99	1146
80	101	1146
81	102	1145
82	103	1143
83	104	1141
84	106	1141
85	107	1140
86	108	1140
87	110	1140
88	111	1140
89	112	1138
90	113	1135
91	114	1134
92	116	1131
93	117	1129
94	118	1127
95	119	1124
96	120	1123
97	121	1120
98	122	1118
99	124	1117
100	125	1114
101	126	1112
102	127	1111
103	128	1109
104	129	1106
105	130	1103
106	132	1102
107	133	1102
108	134	1099
109	135	1096
110	136	1095
111	138	1094
112	139	1092
113	140	1090
114	141	1088
115	142	1086
116	143	1085
117	145	1084
118	146	1083
119	147	1081
120	148	1080
121	150	1079
122	151	1078
123	152	1076
124	153	1075
125	154	1074
126	155	1072
127	157	1070
128	158	1068
129	159	1067
130	160	1065
131	161	1063
132	163	1062
133	164	1061
134	165	1060
135	166	1059
136	168	1058
137	169	1056
138	170	1054
139	171	1053
140	172	1053
141	174	1051
142	175	1049
143	176	1048
144	177	1047
145	178	1045
146	180	1044
147	181	1043
148	182	1042
149	183	1041
150	184	1039
151	186	1038
